Original_SMILES,New_SMILES,ID,Catalog ID,Collection,"Price(3 umol), USD",Lead time,canonical_smiles,most_similar_index,tanimoto_similarity,compound_rank,Enamine catalog ID_q,Participant ID,rank,smiles,Enamine catalog ID_local,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,similar_to,similarity_scores,bad_apples
CN1C=NN=C1SC=2C=CC(NC(=O)C3(CC4(CN)C3)CO4)=CC2,CN1C=NN=C1SC=2C=CC(NC(=O)C3(CC4(CN)C3)CO4)=CC2,C-1972-21,Z3099733423,mRDB,125.2,5-6 weeks,Cn1cnnc1Sc1ccc(NC(=O)C23COC(CN)(C2)C3)cc1,20.0,0.8169014084507040,21,Z3099733423,1972,21,Cn1cnnc1Sc1ccc(NC(=O)[C@]23CO[C@](C[NH3+])(C2)C3)cc1,Z3099733423,345.42001,0.63008803,y,wim pharmacophore,-999.0,1.0,,,,No pScore
NCC1CCCN(C1)C(=O)C=2C=CC=C(OCC3=CSC=N3)C2,NCC1CCCN(C1)C(=O)C=2C=CC=C(OCC3=CSC=N3)C2,C-1972-22,Z2301730404,sRDB,83.2,5-6 weeks,NCC1CCCN(C(=O)c2cccc(OCc3cscn3)c2)C1,21.0,0.8,22,Z2301730404,1972,22,[NH3+]C[C@@H]1CCCN(C(=O)c2cccc(OCc3cscn3)c2)C1,Z2301730404,331.42999,1.29164,y,wim pharmacophore,-999.0,1.0,,,,No pScore
NCC1(CC2(C1)C(=O)NC=3C=CC=C(CN4C=NN=C4)C3)OC2,NCC1(CC2(C1)C(=O)NC=3C=CC=C(CN4C=NN=C4)C3)OC2,C-1972-23,Z3103871141,Advanced,20.8,2-3 weeks,NCC12CC(C(=O)Nc3cccc(Cn4cnnc4)c3)(CO1)C2,22.0,0.8142857142857140,23,Z3103871141,1972,23,[NH3+]C[C@]12C[C@](C(=O)Nc3cccc(Cn4cnnc4)c3)(CO1)C2,Z3103871141,313.36099,-0.51843834,y,wim pharmacophore,-999.0,1.0,,,,No pScore
CN1C=CN=C1COC=2C=CC(=CC2)C(=O)N3CCCC(CN)C3,CN1C=CN=C1COC=2C=CC(=CC2)C(=O)N3CCCC(CN)C3,C-1972-24,Z2440037276,sRDB,83.2,5-6 weeks,Cn1ccnc1COc1ccc(C(=O)N2CCCC(CN)C2)cc1,23.0,0.7972972972972970,24,Z2440037276,1972,24,Cn1ccnc1COc1ccc(C(=O)N2CCC[C@H](C[NH3+])C2)cc1,Z2440037276,328.41599,0.72974783,y,wim pharmacophore,-999.0,1.0,,,,No pScore
O=C(NC=1C=CC=C(CN2CCCCC2)C1)C3(CCCCC3)N4C=NN=N4,O=C(NC=1C=CC=C(CN2CCCCC2)C1)C3(CCCCC3)N4C=NN=N4,C-1972-25,Z2473323915,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(CN2CCCCC2)c1)C1(n2cnnn2)CCCCC1,28.0,0.6352941176470590,25,Z2473323915,1972,25,O=C(Nc1cccc(C[NH+]2CCCCC2)c1)C1(n2cnnn2)CCCCC1,Z2473323915,368.48499,3.0841775,y,wim pharmacophore,-999.0,1.0,,Z2473316968|Z2621742909|Z2621693915,0.96|0.9|0.85,No pScore
CC1=NC(COC=2C=CC=C(C2)C(=O)N3CCCCC(CN)C3)=NO1,CC1=NC(COC=2C=CC=C(C2)C(=O)N3CCCCC(CN)C3)=NO1,C-1972-26,Z3144506726,sRDB,83.2,5-6 weeks,Cc1nc(COc2cccc(C(=O)N3CCCCC(CN)C3)c2)no1,25.0,0.8192771084337350,26,Z3144506726,1972,26,Cc1nc(COc2cccc(C(=O)N3CCCC[C@H](C[NH3+])C3)c2)no1,Z3144506726,344.41501,1.3787732,y,wim pharmacophore,-999.0,1.0,,Z2440040050,0.89,No pScore
CC(C)(C(=O)NC=1C=CC=C(CN2CCCCC2)C1)N3C=NN=N3,CC(C)(C(=O)NC=1C=CC=C(CN2CCCCC2)C1)N3C=NN=N3,C-1972-28,Z3295407853,sRDB,83.2,5-6 weeks,CC(C)(C(=O)Nc1cccc(CN2CCCCC2)c1)n1cnnn1,27.0,0.6049382716049380,28,Z3295407853,1972,28,CC(C)(C(=O)Nc1cccc(C[NH+]2CCCCC2)c1)n1cnnn1,Z3295407853,328.42001,2.05829,y,wim pharmacophore,-999.0,1.0,,Z3295389817,0.94,Moderate pScore
O=C(NC=1C=CC=C(CN2CCCC2)C1)C3(CCCCC3)N4C=NN=N4,O=C(NC=1C=CC=C(CN2CCCC2)C1)C3(CCCCC3)N4C=NN=N4,C-1972-29,Z2473316968,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(CN2CCCC2)c1)C1(n2cnnn2)CCCCC1,28.0,0.6428571428571430,29,Z2473316968,1972,29,O=C(Nc1cccc(C[NH+]2CCCC2)c1)C1(n2cnnn2)CCCCC1,Z2473316968,354.45801,2.6396089,y,wim pharmacophore,-999.0,1.0,,Z2473323915|Z2621742909|Z2621693915,0.96|0.86|0.89,No pScore
CC(C)(C(=O)NC=1C=CC=C(CN2CCCC2)C1)N3C=NN=N3,CC(C)(C(=O)NC=1C=CC=C(CN2CCCC2)C1)N3C=NN=N3,C-1972-30,Z3295389817,sRDB,83.2,5-6 weeks,CC(C)(C(=O)Nc1cccc(CN2CCCC2)c1)n1cnnn1,29.0,0.6153846153846150,30,Z3295389817,1972,30,CC(C)(C(=O)Nc1cccc(C[NH+]2CCCC2)c1)n1cnnn1,Z3295389817,314.39301,1.6137213,y,wim pharmacophore,-999.0,1.0,,Z3295407853,0.94,Moderate pScore
O=C(NC=1C=CC=C(CN2CCCCC2)C1)C3(CC3)N4C=NN=N4,O=C(NC=1C=CC=C(CN2CCCCC2)C1)C3(CC3)N4C=NN=N4,C-1972-31,Z2621742909,sRDB,83.2,5-6 weeks,O=C(Nc1cccc(CN2CCCCC2)c1)C1(n2cnnn2)CC1,30.0,0.6172839506172840,31,Z2621742909,1972,31,O=C(Nc1cccc(C[NH+]2CCCCC2)c1)C1(n2cnnn2)CC1,Z2621742909,326.40399,1.7504715,y,wim pharmacophore,-999.0,1.0,,Z2473323915|Z2621693769|Z2473316968|Z2621693915,0.9|0.8|0.86|0.94,No pScore
