Participant ID,rank,smiles,Enamine catalog ID,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,Vina Score,Pharmaco score
1972,,CC1CC[NH+](Cc2ccc(CNC(=O)N(Cc3c(F)cccc3F)C3CC3)cc2)CC1,m_2708baa____907032____9278786,428.544,3.654,,infinisee REAL + MMGBSA  + amine,-46.33,,,,
1972,,CC1CC[NH+](Cc2ccc(CNC(=O)N(Cc3ccccc3)[C@@H](CO)C3CC3)cc2)CC1,m_2708baa____907032____23980516,436.616,2.984,,infinisee REAL + MMGBSA  + amine,-45.77,,,,
1972,,NC(=O)c1ccc(CN(C(=O)NCc2ccc(C[NH+]3CCCCCC3)cc2)C2CC2)cc1,m_2708caa____20619128____915808,435.589,2.619,,infinisee REAL + MMGBSA  + amine,-30.43,,,,
1972,,CC1CC[NH+](Cc2ccccc2CNC(=O)N[C@H](CC2CCC2)c2ccccc2)CC1,m_2708baa____9283446____8365564,420.617,4.232,,infinisee REAL + MMGBSA  + amine,-50.84,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)N(C3CC3)[C@H](C)c3ccccc3F)c2)CC1,m_2708baa____3071132____6007254,424.581,4.076,,infinisee REAL + MMGBSA  + amine,-39.65,,,,
1972,,CC1CC[NH+](Cc2ccc(CNC(=O)N(Cc3cccc(F)c3)C3CC3)cc2)CC1,m_2708baa____907032____1010246,410.554,3.515,,infinisee REAL + MMGBSA  + amine,-56.24,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)N[C@@H](c3ccccc3)C3CCCC3)c2)CC1,m_2708baa____3071132____2082912,420.617,4.232,,infinisee REAL + MMGBSA  + amine,-46.82,,,,
1972,,CC1CC[NH+](Cc2ccc(CNC(=O)N(CCc3ccc(F)cc3)C3CC3)cc2)CC1,m_2708baa____907032____5001824,424.581,3.557,,infinisee REAL + MMGBSA  + amine,-47.36,,,,
1972,,O=C(Nc1ccc(C[NH+]2CCCCC2)cc1)N(Cc1cccc(F)c1)C1CCC1,m_2430bbb____22527514____13162172,396.527,3.981,,infinisee REAL + MMGBSA  + amine,-53.42,,,,
1972,,O=C(NCc1c(F)cccc1N1CCCC1)Nc1ccc(C[NH+]2CCCC2)c(C(F)(F)F)c1,m_2430bbb____22525090____10118688,465.512,3.945,,infinisee REAL + MMGBSA  + amine,-41.69,,,,
1972,,O=C(NCc1ccc(C[NH+]2CCCCCC2)cc1)N(Cc1ccccc1C(F)(F)F)CC1CC1,m_2708baa____20619128____10120734,474.588,4.786,,infinisee REAL + MMGBSA  + amine,-27.95,,,,
1972,,CC1CC[NH+](Cc2ccc(CNC(=O)N(Cc3ccc(F)cc3F)C3CC3)cc2)CC1,m_2708baa____907032____3225266,428.544,3.654,,infinisee REAL + MMGBSA  + amine,-42.38,,,,
1972,,CC(C)CN(Cc1cccc(C(F)(F)F)c1)C(=O)Nc1ccc(C[NH+]2CCCC2)c(C(F)(F)F)c1,m_2430bbb____22525090____12215296,502.52,5.593,,infinisee REAL + MMGBSA  + amine,-50.2,,,,
1972,,CC1CC[NH+](Cc2ccc(CNC(=O)N(Cc3ccccc3C(F)(F)F)C3CCCC3)cc2)CC1,m_2708baa____907032____5730054,488.614,5.175,,infinisee REAL + MMGBSA  + amine,-42.33,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)N(Cc3c(F)cccc3F)C3CC3)c2)CC1,m_2708baa____3071132____9278786,428.544,3.654,,infinisee REAL + MMGBSA  + amine,-38.84,,,,
1972,,CC1CC[NH+](Cc2ccc(CNC(=O)N(Cc3cccc(O)c3)CC3CC3)cc2)CC1,m_2708baa____907032____24020390,422.589,3.329,,infinisee REAL + MMGBSA  + amine,-53.1,,,,
1972,,CC(C)CN(Cc1cc(Cl)ccc1Br)C(=O)NCc1cccc(C[NH+]2CCCCCC2)c1,m_2708baa____2307424____14481412,521.947,5.429,,infinisee REAL + MMGBSA  + amine,-43.03,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)N[C@@H](c3cccc(C(F)(F)F)c3)C3CCCC3)c2)CC1,m_2708baa____3071132____21492638,488.614,5.251,,infinisee REAL + MMGBSA  + amine,-31.24,,,,
1972,,CCCN(C(=O)NCc1cccc(C[NH+]2CCCCCC2)c1)[C@H](C)c1ccccc1Br,m_2708caa____2307424____915866,487.502,5.091,,infinisee REAL + MMGBSA  + amine,-43.95,,,,
1972,,CC1CC[NH+](Cc2ccc(CNC(=O)N(C[C@H](O)c3ccc(F)cc3)C3CC3)cc2)CC1,m_2708baa____907032____6584270,440.58,3.048,,infinisee REAL + MMGBSA  + amine,-39.1,,,,
1972,,CCCN(Cc1ccccc1Br)C(=O)NCc1ccccc1C[NH+]1CCC(C)CC1,m_2708baa____9283446____2241444,473.476,4.386,,infinisee REAL + MMGBSA  + amine,-46.89,,,,
1972,,O=C(NCc1cccc(C[NH+]2CCCCCC2)c1)N1CC2(CCCC2)[C@H]1c1ccccc1,m_2708baa____2307424____10893712,432.628,4.472,,infinisee REAL + MMGBSA  + amine,-47.22,,,,
1972,,C[C@@H]1C[C@@H](C)C[NH+](Cc2ccc(CNC(=O)N(CCc3cccc(F)c3)C3CCCC3)cc2)C1,m_2708baa____907256____7024700,466.661,4.583,,infinisee REAL + MMGBSA  + amine,-37.44,,,,
1972,,O=C(NCc1ccccc1C[NH+]1CCCCCC1)NCc1c(F)cccc1N1CCCC1,m_2708baa____4833158____10118694,439.595,3.384,,infinisee REAL + MMGBSA  + amine,-51.44,,,,
1972,,O=C(NCc1cccc(C[NH+]2CCCCCC2)c1)N(Cc1ccccc1C(F)(F)F)CC1CC1,m_2708baa____2307424____10120734,474.588,4.786,,infinisee REAL + MMGBSA  + amine,-30.44,,,,
1972,,COC(=O)[C@H](C)CN(Cc1ccccc1)C(=O)NCc1ccccc1C[NH+]1CCC(C)CC1,m_2708baa____9283446____24023876,452.615,3.022,,infinisee REAL + MMGBSA  + amine,-52.12,,,,
1972,,O=C(NCc1ccccc1C[NH+]1CCCCCC1)N(Cc1ccc(O)cc1)CC1CC1,m_2708caa____4833158____6078570,422.589,3.473,,infinisee REAL + MMGBSA  + amine,-51.2,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)N(Cc3c(F)cccc3Cl)C3CC3)c2)CC1,m_2708baa____3071132____5730024,444.999,4.168,,infinisee REAL + MMGBSA  + amine,-37.67,,,,
1972,,COc1ccc([C@H](NC(=O)NCc2ccccc2C[NH+]2CCCCCC2)C2CCCC2)cc1,m_2708baa____4833158____23981044,450.643,4.385,,infinisee REAL + MMGBSA  + amine,-46.68,,,,
1972,,Cc1cccc(CN(CC(C)C)C(=O)NCc2ccc(C[NH+]3CCC(C)CC3)cc2)c1,m_2708baa____907032____2247400,422.633,4.178,,infinisee REAL + MMGBSA  + amine,-33.09,,,,
1972,,CC(C)CN(Cc1cc(Cl)ccc1Br)C(=O)NCc1cccc(C[NH+]2CCC(C)CC2)c1,m_2708baa____3071132____14481412,521.947,5.285,,infinisee REAL + MMGBSA  + amine,-38.23,,,,
1972,,O=C(NCc1cccc(C[NH+]2CCCCCC2)c1)N(Cc1ccc2c(c1)OCO2)C1CCCC1,m_2708baa____2307424____5730022,464.626,4.029,,infinisee REAL + MMGBSA  + amine,-42.85,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)N[C@@H](c3cccc(C(F)(F)F)c3)C3CCC3)c2)CC1,m_2708baa____3071132____9966656,474.588,4.861,,infinisee REAL + MMGBSA  + amine,-31.99,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)N(CC3CC3)[C@H](C)c3ccccc3)c2)CC1,m_2708baa____3071132____2535758,420.617,4.184,,infinisee REAL + MMGBSA  + amine,-35.46,,,,
1972,,C[C@H](c1ccccc1F)N(C(=O)NCc1cccc(C[NH+]2CCCCCC2)c1)C1CC1,m_2708baa____2307424____6007254,424.581,4.22,,infinisee REAL + MMGBSA  + amine,-27.28,,,,
1972,,C[C@@H]1CCC[N@@H+](Cc2ccc(CNC(=O)N(Cc3cccc(F)c3)C3CCC3)cc2)C1,m_2708baa____907046____13162176,424.581,3.905,,infinisee REAL + MMGBSA  + amine,-50.73,,,,
1972,,O=C(NCc1cccc(C[NH+]2CCCCCC2)c1)N(Cc1ccc(F)cc1F)C1CC1,m_2708baa____2307424____3225266,428.544,3.798,,infinisee REAL + MMGBSA  + amine,-36.6,,,,
1972,,CN1CC[NH+](Cc2ccc(NC(=O)Nc3cc(Cl)ccc3N3CCCC3)cc2C(F)(F)F)CC1,m_2430dbb____7208362____22586956,497.99,2.516,,infinisee REAL + MMGBSA  + amine,-52.78,,,,
1972,,C[C@@H]1C[C@@H](C)C[NH+](Cc2ccc(CNC(=O)N3CC4(CCCC4)c4ccccc43)cc2)C1,m_2708baa____907256____6741194,432.628,4.289,,infinisee REAL + MMGBSA  + amine,-41.38,,,,
1972,,CCCCN(Cc1cccc(C#N)c1)C(=O)NCc1ccc(C[N@@H+]2CCC[C@@H](C)C2)cc1,m_2708baa____907046____2250674,433.616,3.885,,infinisee REAL + MMGBSA  + amine,-50.79,,,,
1972,,O=C(NCc1cccc(C[NH+]2CCCCCC2)c1)N(Cc1ccc(O)cc1)C1CC1,m_2708caa____2307424____913892,408.563,3.225,,infinisee REAL + MMGBSA  + amine,-43.54,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)NCc3ccccc3N3CCC(CO)CC3)c2)CC1,m_2708baa____3071132____23881450,465.658,2.709,,infinisee REAL + MMGBSA  + amine,-40.32,,,,
1972,,CC(C)CN(CCc1ccc(F)cc1)C(=O)NCc1ccc(C[NH+]2C[C@H](C)C[C@@H](C)C2)cc1,m_2708baa____907256____2249934,454.65,4.297,,infinisee REAL + MMGBSA  + amine,-36.68,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)N(Cc3ccc(F)cc3F)C3CCCC3)c2)CC1,m_2708baa____3071132____5730032,456.597,4.434,,infinisee REAL + MMGBSA  + amine,-42.7,,,,
1972,,CC1CC[NH+](CCc2cccc(NC(=O)Cc3ccccc3N3CCCC3=O)c2)CC1,m_22bbb____8166554____12899814,420.574,2.852,,infinisee REAL + MMGBSA  + amine,-51.77,,,,
1972,,O=C(Nc1ccc(C[NH+]2CCCC2)c(C(F)(F)F)c1)N(Cc1ccccc1Cl)C1CCCC1,m_2430cab____22525090____5730140,480.979,5.514,,infinisee REAL + MMGBSA  + amine,-52.89,,,,
1972,,O=C(OCc1ccc(C[NH+]2CCCCC2)cc1)c1ccccc1N1CCCCC1=O,m_1458bgb____17311536____10969108,407.531,3.129,,infinisee REAL + MMGBSA  + amine,-53.36,,,,
1972,,O=C(NCc1cccc(C[NH+]2CCCCCC2)c1)N(C[C@H](O)c1ccc(F)cc1)C1CC1,m_2708baa____2307424____6584270,440.58,3.192,,infinisee REAL + MMGBSA  + amine,-36.47,,,,
1972,,C[C@@H]1CCC[N@@H+](Cc2ccc(CNC(=O)N(CC3CCC3)[C@H](C)c3ccccc3)cc2)C1,m_2708caa____907046____5532466,434.644,4.574,,infinisee REAL + MMGBSA  + amine,-42.52,,,,
1972,,O=C(Nc1ccc(C[NH+]2CCCCC2)cc1)N(Cc1ccc(F)cc1)C1CCC1,m_2430cab____22527514____16637214,396.527,3.981,,infinisee REAL + MMGBSA  + amine,-38.83,,,,
1972,,C[C@@H]1C[C@@H](C)C[NH+](Cc2ccc(CNC(=O)N(Cc3ccccc3C(F)(F)F)C3CC3)cc2)C1,m_2708baa____907256____1024188,474.588,4.64,,infinisee REAL + MMGBSA  + amine,-39.67,,,,
1972,,O=C(NCc1ccc(F)cc1C1CC1)Nc1ccc(Cl)c(C[NH+]2CCCCC2)c1,m_2430bbb____6493264____22582852,416.945,4.247,,infinisee REAL + MMGBSA  + amine,-52.19,,,,
1972,,CCCN(Cc1ccc(F)cc1C)C(=O)NCc1ccc(C[N@@H+]2CCC[C@@H](C)C2)cc1,m_2708baa____907046____14521184,426.596,4.071,,infinisee REAL + MMGBSA  + amine,-31.56,,,,
1972,,CCc1ccc(CN(C(=O)NCc2ccc(C[NH+]3C[C@H](C)C[C@@H](C)C3)cc2)C2CC2)cc1,m_2708baa____907256____913900,434.644,4.184,,infinisee REAL + MMGBSA  + amine,-38.54,,,,
1972,,CC1CC[NH+](Cc2ccccc2CNC(=O)N[C@H](c2ccccc2)C2(CO)CCCC2)CC1,m_2708baa____9283446____13192978,450.643,3.595,,infinisee REAL + MMGBSA  + amine,-41.18,,,,
1972,,CC1CC[NH+](Cc2cccc(CNC(=O)C(=O)N(C)Cc3ccccc3N3CCCC3)c2)CC1,m_271948baa____9942338____9912196,463.642,2.376,,infinisee REAL + MMGBSA  + amine,-25.93,,,,
