Original_SMILES,New_SMILES,ID,Catalog ID,Collection,"Price(3 umol), USD",Lead time
,Cl.O[C@@H]1CCN(C1)C=2C=CC=CC2CNC(=O)NCC=3C=CC=C(CN4CCCCCC4)C3,C-1972-135,Z8740336696,sRDB,83.2,5-6 weeks
,CC(C1CC2CCC1C2)N3C(=O)N(CC(=O)NC=4C=CC=5OCCOC5C4)C(=O)C3=O,C-1972-136,Z26303988,HTS,12.7,2-3 weeks
,O=C(CSC1=NN=C(O1)C2=NN(CC=3C=CC=CC3)C(=O)C=4C=CC=CC24)N5CCNC5=O,C-1972-137,Z15434645,HTS,12.7,2-3 weeks
,CC(C)CN1N=C(C(=O)NNC(=O)C2=NNC(=O)C=3C=CC=CC23)C=4C=CC=CC4C1=O,C-1972-138,Z29576985,HTS,12.7,2-3 weeks
,NC(=O)C=1C=CC(N2CCCC2)=C(NC(=O)C=3C=CC=4NC(=O)CCC4C3)C1,C-1972-139,Z165037048,HTS,12.7,2-3 weeks
,CC1CCCN(CC=2C=CC(NC(=O)C=3C=CC=C(CN4C=CN=N4)C3)=CC2)C1,C-1972-14,Z2622538469,sRDB,83.2,5-6 weeks
,CN(C)CC=1C=C(C)C=C(NC(=O)C=2C=CC=C(C2)C3(O)COC3)C1,C-1972-140,Z4320146312,sRDB,83.2,5-6 weeks
,NC1(CCOCC1)C=2C=CC=C(NC(=O)C=3C=C(C=CN3)C4CC4)C2,C-1972-141,Z3518568935,sRDB,83.2,5-6 weeks
,C[C@H](O)C=1C=CC=C(NC(=O)C=2C=CC=C(C2)C3(CN)CC3)C1,C-1972-142,Z8740154122,sRDB,83.2,5-6 weeks
,C[C@@H](O)C=1C=CC=C(NC(=O)C=2C=CC=C(C2)C3(F)CNC3)C1,C-1972-143,Z4210118504,sRDB,83.2,5-6 weeks
,C[C@@H](N)C=1C=CC=C(NC(=O)C=2C=CC=C(C2)C3(F)CNC3)C1,C-1972-144,Z4210297065,mRDB,125.2,5-6 weeks
,C[C@@H](NC(=O)C=1C=CC=C(C1)C2(F)CNC2)C=3C=CC=NC3F,C-1972-145,Z4422139754,mRDB,125.2,5-6 weeks
,CC(F)(F)C=1C=NC=C(C1)C(=O)NC=2C=C(CN)C=C(C2)C(F)(F)F,C-1972-146,Z3792671948,sRDB,83.2,5-6 weeks
,NCC1(CC1)C=2C=CC=C(C2)C(=O)NC=3C=CC=C(C3)C(F)(F)CF,C-1972-147,Z8740154405,mRDB,125.2,5-6 weeks
,Cl.CN1CCN(CC1)C=2C=CC(F)=CC2CNC(=O)N(CCCSC3=NN=NN3C)CC=4C=CC(Cl)=CC4,C-1972-148,Z8740336697,sRDB,83.2,5-6 weeks
,CC(C)(C=1N=NNN1)C=2C=CC=C(NC(=O)C=3C=CC(CN4CCCC4)=CC3)C2,C-1972-15,Z8740153173,mRDB,125.2,5-6 weeks
,O=C(NC=1C=CC=C(CN2CCCC2)C1)C=3C=CC=C(CC=4N=NNN4)C3,C-1972-16,Z4412381053,mRDB,125.2,5-6 weeks
,O=C(NC=1C=CC=C(CC=2N=NNN2)C1)C=3C=CC=C(CN4CCCC4)C3,C-1972-17,Z2911313247,sRDB,83.2,5-6 weeks
,CC(C)(C=1N=NNN1)C=2C=CC=C(NC(=O)C=3C=CC=C(CN4CCCC4)C3)C2,C-1972-18,Z8740153242,mRDB,125.2,5-6 weeks
,CC=1C=C(C)N=C(C1)C(=O)NC=2C=CC=C(C2)C(C)(C)C=3N=NNN3,C-1972-19,Z8740153266,mRDB,125.2,5-6 weeks
,CC=1C=C(N=C(C)N1)C(=O)NC=2C=CC=C(C2)C(C)(C)C=3N=NNN3,C-1972-20,Z8740153286,mRDB,125.2,5-6 weeks
,CN1C=NN=C1SC=2C=CC(NC(=O)C3(CC4(CN)C3)CO4)=CC2,C-1972-21,Z3099733423,mRDB,125.2,5-6 weeks
,NCC1CCCN(C1)C(=O)C=2C=CC=C(OCC3=CSC=N3)C2,C-1972-22,Z2301730404,sRDB,83.2,5-6 weeks
,NCC1(CC2(C1)C(=O)NC=3C=CC=C(CN4C=NN=C4)C3)OC2,C-1972-23,Z3103871141,Advanced,20.8,2-3 weeks
,CN1C=CN=C1COC=2C=CC(=CC2)C(=O)N3CCCC(CN)C3,C-1972-24,Z2440037276,sRDB,83.2,5-6 weeks
,O=C(NC=1C=CC=C(CN2CCCCC2)C1)C3(CCCCC3)N4C=NN=N4,C-1972-25,Z2473323915,sRDB,83.2,5-6 weeks
,CC1=NC(COC=2C=CC=C(C2)C(=O)N3CCCCC(CN)C3)=NO1,C-1972-26,Z3144506726,sRDB,83.2,5-6 weeks
,CC(C)(C(=O)NC=1C=CC=C(CN2CCCCC2)C1)N3C=NN=N3,C-1972-28,Z3295407853,sRDB,83.2,5-6 weeks
,O=C(NC=1C=CC=C(CN2CCCC2)C1)C3(CCCCC3)N4C=NN=N4,C-1972-29,Z2473316968,sRDB,83.2,5-6 weeks
,CC(C)(C(=O)NC=1C=CC=C(CN2CCCC2)C1)N3C=NN=N3,C-1972-30,Z3295389817,sRDB,83.2,5-6 weeks
,O=C(NC=1C=CC=C(CN2CCCCC2)C1)C3(CC3)N4C=NN=N4,C-1972-31,Z2621742909,sRDB,83.2,5-6 weeks
,CC1=NC(COC=2C=CC=C(C2)C(=O)N3CCCC(CN)C3)=NO1,C-1972-32,Z2440040050,sRDB,83.2,5-6 weeks
,O=C(NC=1C=CC=C(CN2CCCC2)C1)C3(CC3)N4C=NN=N4,C-1972-33,Z2621693915,sRDB,83.2,5-6 weeks
,Cl.CC(C)(O)CCN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2,C-1972-34,Z8740336516,sRDB,83.2,5-6 weeks
Cl.O[C@H](CN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2)C4=CC=CO4,OC(CN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2)C4=CC=CO4,C-1972-35,Z8740828249,sRDB,83.2,5-6 weeks
,Cl.O[C@@H]1CCN(C1)C=2C=CC=CC2CNC(=O)NCC=3C=CC=CC3CN4CCCCCCC4,C-1972-36,Z8740336524,sRDB,83.2,5-6 weeks
,Cl.CN1CCN(CC=2C=CC(NC(=O)N(CCC(C)(C)O)CC=3C=CC=CC3)=CC2C(F)(F)F)CC1,C-1972-37,Z8740336533,sRDB,83.2,5-6 weeks
,Cl.CC=1C=CC(OC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCCCCC4)C3)=CC2)=NN1,C-1972-38,Z8740336534,sRDB,83.2,5-6 weeks
,Cl.CC(C)C=1C=CC(CN(C2CC2)C(=O)CNC=3C=CC=CC3CN4CCC(CO)CC4)=CC1,C-1972-39,Z8740336535,sRDB,83.2,5-6 weeks
,Cl.O=C(CC=1C=CC=C(OC2=NC=NS2)C1)NC=3C=CC(CCN4CCCC4)=CC3,C-1972-40,Z8740336536,sRDB,83.2,5-6 weeks
,Cl.CC(C)(C)OC(=O)N1CC(C1)OC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCCCCC4)C3)=CC2,C-1972-41,Z8740336537,sRDB,83.2,5-6 weeks
,Cl.CC(C)(O)CCN(CC=1C=CC=CC1)C(=O)NC=2C=CC(CN3CCCC3)=C(C2)C(F)(F)F,C-1972-42,Z8740336538,sRDB,83.2,5-6 weeks
,Cl.COCCCCN(CC=1C=CC=CC1)C(=O)NC=2C=CC(Cl)=C(CN3CCCCC3)C2,C-1972-43,Z8740336539,sRDB,83.2,5-6 weeks
,Cl.COCCCCN(CC=1C=CC=CC1)C(=O)NC=2C=CC(CN3CCCC3)=C(C2)C(F)(F)F,C-1972-44,Z8740336540,sRDB,83.2,5-6 weeks
Cl.COCCCSC=1C=CC(NC(=O)NCC=2C=CC=CC2CN3CCC[C@@H](C)C3)=CC1,COCCCSC=1C=CC(NC(=O)NCC=2C=CC=CC2CN3CCCC(C)C3)=CC1,C-1972-45,Z8740837649,sRDB,83.2,5-6 weeks
Cl.COC(=O)CN1CCN(CC1)C=2C=CC(NC(=O)NCC=3C=CC=CC3CN4CCCC[C@H]4C)=CC2,COC(=O)CN1CCN(CC1)C=2C=CC(NC(=O)NCC=3C=CC=CC3CN4CCCCC4C)=CC2,C-1972-46,Z1122775589,sRDB,83.2,5-6 weeks
,Cl.CC1CCN(CCC=2C=CC=C(NC(=O)N(CCC(C)(C)O)CC=3C=CC=CC3)C2)CC1,C-1972-47,Z8740336545,sRDB,83.2,5-6 weeks
Cl.CCN1C=C(C=N1)[C@@H](O)CN(CC=2C=CC=CC2)C(=O)NC=3C=CC(CN4CCCC4)=C(C3)C(F)(F)F,CCN1C=C(C=N1)C(O)CN(CC=2C=CC=CC2)C(=O)NC=3C=CC(CN4CCCC4)=C(C3)C(F)(F)F,C-1972-48,Z8740843347,sRDB,83.2,5-6 weeks
Cl.C[C@@H]1CCN(CCOC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCOCC4)C3)=CC2)C1,CC1CCN(CCOC=2C=CC(NC(=O)NCC=3C=CC=C(CN4CCOCC4)C3)=CC2)C1,C-1972-49,Z8740845181,sRDB,83.2,5-6 weeks
Cl.C[C@@H]1CCCCN1CC=2C=CC=CC2CNC(=O)NC=3C=CC=4N(CC5CC5)C(=O)CCC4C3,CC1CCCCN1CC=2C=CC=CC2CNC(=O)NC=3C=CC=4N(CC5CC5)C(=O)CCC4C3,C-1972-50,Z8740846898,sRDB,83.2,5-6 weeks
